운영상태,시설명,시설구분,도로명전체주소,소재지전체주소,시설위치(지상/지하),시설면적(㎡),최대수용인원,위도(EPSG4326),경도(EPSG4326)
사용중,9호선국회의사당역,공공용시설,"서울특별시 영등포구 국회대로 지하758, 국회의사당역 지하1층 (여의도동)",서울특별시 영등포구 여의도동 1-6 국회의사당역 지하층,지하,11089,13441,37.5287943,126.9171298
사용중,9호선여의도역,공공용시설,"서울특별시 영등포구 여의나루로 지하40, 여의도역 지하1층 (여의도동)",서울특별시 영등포구 여의도동 3 여의도역 지하층,지하,9370,11357,37.52197851,126.9246236
사용중,9호선샛강역,공공용시설,"서울특별시 영등포구 의사당대로 지하166, 샛강역 지하1층 (여의도동)",서울특별시 영등포구 여의도동 5-6 샛강역 지하층,지하,10298,12482,37.5171869,126.9285135
사용중,지하철9호선선유도역,공공용시설,"서울특별시 영등포구 양평로 지하124, 선유도역 (양평동5가)",서울특별시 영등포구 양평동5가 66-1 선유도역,지하,8733.1,10585,37.53791997,126.8939044
사용중,지하철9호선당산역,공공용시설,"서울특별시 영등포구 양평로 지하40, 당산역 (당산동6가)",서울특별시 영등포구 당산동6가 227-1 당산역,지하,13714,16623,37.533872,126.9019376
사용중,당산푸르지오아파트 지하 1층 주차장,공공용시설,"서울특별시 영등포구 영중로 154(영등포동8가, 당산 푸르지오)",서울특별시 영등포구 영등포동8가 91 당산 푸르지오,지하,15905,19278,37.53001811,126.9060396
사용중,보라매 경남아너스빌 아파트 지하 1~2층 주차장,공공용시설,"서울특별시 영등포구 여의대방로 25(신길동, 보라매 경남아너스빌)",서울특별시 영등포구 신길동 4780 보라매 경남아너스빌,지하,8874,10756,37.49442602,126.9106421
사용중,양평동우림이비지센터(지하주차장 1층),공공용시설,"서울특별시 영등포구 양산로 43, 양평동우림 이 비지센타 (양평동3가)",서울특별시 영등포구 양평동3가 16 양평동우림 이 비지센타,지하,4326.24,5243,37.5255837,126.8878882
사용중,동아에코빌 지하1~2층,공공용시설,"서울특별시 영등포구 도림로 365(도림동, 동아에코빌)",서울특별시 영등포구 도림동 165-1 동아에코빌,지하,13415,16260,37.50953002,126.898957
사용중,한라아파트 지하1~2층,공공용시설,"서울특별시 영등포구 도신로15라길 5-7(도림동, 한라아파트)",서울특별시 영등포구 도림동 231-1 한라아파트,지하,5268,6385,37.50764,126.8976883
사용중,신길1동 경남아파트 지하주차장 지하1층~지하2층,공공용시설,"서울특별시 영등포구 영등포로 351 (신길동, 신길동경남아파트)",서울특별시 영등포구 신길동 67-1 신길동경남아파트,지하,12617.18,15293,37.51534339,126.918005
사용중,신길역 1호선 환승통로(지하1층),공공용시설,"서울특별시 영등포구 영등포로 327, 신길역 (신길동)",서울특별시 영등포구 신길동 41-1 신길역,지하,2371,2873,37.51713108,126.9170223
사용중,삼성112동아파트 지하주차장 지하1층~지하3층,공공용시설,"서울특별시 영등포구 신길로42길 25(신길동, 삼성아파트)",서울특별시 영등포구 신길동 4934-2 삼성아파트,지하,2382,2887,37.50740556,126.9134994
사용중,삼성래미안 2단지 아파트 지하주차장 지하1층~지하3층,공공용시설,"서울특별시 영등포구 신길로42길 35(신길동, 삼성래미안아파트)",서울특별시 영등포구 신길동 4934-1 삼성래미안아파트,지하,8341.72,10111,37.50672943,126.9144962
사용중,포레나신길아파트(지하 1층),공공용시설,"서울특별시 영등포구 신길로 119 (신길동, 포레나 신길)",서울특별시 영등포구 신길동 4937 포레나 신길,지하,13003,15761,37.50288202,126.9101315
사용중,대성유니드아파트(지하 1층),공공용시설,"서울특별시 영등포구 가마산로50길 27(신길동, 신길동 대성 유니드 아파트)",서울특별시 영등포구 신길동 389 신길동 대성 유니드 아파트,지하,3023,3664,37.50135508,126.902839
사용중,두산위브아파트 지하1층 주차장,공공용시설,"서울특별시 영등포구 신길로60나길 9(영등포동, 두산위브)",서울특별시 영등포구 영등포동 649 두산위브,지하,11179,13550,37.51453325,126.9129262
사용중,신대림자이아파트 지하1~3층 주차장,공공용시설,"서울특별시 영등포구 시흥대로173길 13(대림동, 신대림자이)",서울특별시 영등포구 대림동 1121 신대림자이,지하,8292,10050,37.48670885,126.9024971
사용중,한솔솔파크아파트 지하 1층 주차장,공공용시설,"서울특별시 영등포구 도림천로 431(대림동, 新 대림 한솔 솔파크)",서울특별시 영등포구 대림동 1123 新 대림 한솔 솔파크,지하,7890.9,9564,37.48703059,126.8990102
사용중,삼성래미안4차아파트 지하주차장 지하1층~지하2층,공공용시설,"서울특별시 영등포구 당산로 214(당산동5가, 당산 삼성 래미안)",서울특별시 영등포구 당산동5가 42 당산 삼성 래미안,지하,85144,103204,37.53277465,126.9013224
사용중,반도유보라팰리스아파트 지하1~2층 주차장,공공용시설,"서울특별시 영등포구 국회대로 597(당산동4가, 당산동 반도유보라팰리스)",서울특별시 영등포구 당산동4가 96 당산동 반도유보라팰리스,지하,19771,23964,37.52696624,126.9006983
사용중,영등포뉴타운지하쇼핑몰 지하 1층,공공용시설,"서울특별시 영등포구 영중로 지하40, 영등포뉴타운지하쇼핑몰 (영등포동3가)",서울특별시 영등포구 영등포동3가 31 영등포뉴타운지하쇼핑몰,지하,7383.28,8949,37.52038282,126.9050142
사용중,서울남부고용노동지청(지하주차장 1층),공공용시설,"서울특별시 영등포구 선유로 120 (양평동1가, 노동부 남부지청)",서울특별시 영등포구 양평동1가 115번지,지하,1526.02,1849,37.52463385,126.8907755
